Benchmark,Supplier,Product,SKU,Price (CAD),PRO Price,URL,Scraped At
2x6x8 Spruce,Downtown Lumber,2x6x8' Premium SPF,,7.29,,https://www.downtownlumber.com/p/2x6x8-premium-spf/268,2026-08-06T12:52:08.233100
2x6x8 Spruce,Downtown Lumber,2x6x8' Premium WR Cedar,,35.99,,https://www.downtownlumber.com/p/2x6x8-premium-wr-cedar/268C,2026-08-06T12:52:08.233094
3/4 Spruce Plywood,IHL Canada,3/4 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20951,56.49,,https://ihlcanada.com/products/3-4-in-x-4-ft-x-8-ft-standard-spruce-plywood,2026-08-06T12:48:14.350642
3/4 Spruce Plywood,IHL Canada,3/4 in. x 4 ft. x 8 ft. Standard Spruce Plywood,20951,56.49,,https://ihlcanada.com/products/3-4-in-x-4-ft-x-8-ft-standard-spruce-plywood,2026-08-06T12:48:15.805509
3/4 Spruce Plywood,New Canadian Lumber,"4x8x3/4"" Standard SPF Plywood",,59.97,,https://shop.newcanadianslumber.com/p/4x8x34-standard-spf-plywood/SP34,2026-08-06T12:52:02.912356
3/4 Spruce Plywood,Downtown Lumber,"4x8x3/4"" Standard Spruce Plywood",,59.97,,https://www.downtownlumber.com/p/4x8x34-standard-spruce-plywood/34RGH,2026-08-06T12:52:08.233132
3/8 Spruce Plywood,New Canadian Lumber,"4x8x3/8"" Standard SPF Plywood",,29.98,,https://shop.newcanadianslumber.com/p/4x8x38-standard-spf-plywood/SP38,2026-08-06T12:52:02.912358
5/8 Spruce Plywood,New Canadian Lumber,"4x8x5/8"" Standard SPF Plywood",,49.98,,https://shop.newcanadianslumber.com/p/4x8x58-standard-spf-plywood/SP58,2026-08-06T12:52:02.912361
7/16 OSB 4x8,New Canadian Lumber,"4x8x7/16"" OSB Board",,12.98,,https://shop.newcanadianslumber.com/p/4x8x716-osb-board/WB716,2026-08-06T12:52:02.912316
7/16 OSB 4x8,IHL Canada,7/16 in. x 4 ft. x 8 ft. OSB Oriented Strand Board,20954,13.98,,https://ihlcanada.com/products/4-ft-x-8-ft-oriented-strand-board,2026-08-06T12:48:14.350697
7/16 OSB 4x8,IHL Canada,7/16 in. x 4 ft. x 8 ft. OSB Oriented Strand Board,20954,13.98,,https://ihlcanada.com/products/4-ft-x-8-ft-oriented-strand-board,2026-08-06T12:48:15.805473
Concrete Mix 30kg,New Canadian Lumber,Quikrete Concrete Mix - 30 kg,,6.89,,https://shop.newcanadianslumber.com/p/quikrete-concrete-mix-30-kg/STMP,2026-08-06T12:52:02.912340
Concrete Mix 30kg,Downtown Lumber,Quikrete Stone-Mix - 30 kg,,6.99,,https://www.downtownlumber.com/p/quikrete-stone-mix-30-kg/CM,2026-08-06T12:52:08.233110
Drywall Compound,New Canadian Lumber,"All-Purpose Lite Drywall Compound, Ready-Mixed, 17 L",,29.99,,https://shop.newcanadianslumber.com/p/all-purpose-lite-drywall-compound-ready-mixed-17-l/RM23C,2026-08-06T12:52:02.912320
